Year,COUNTY,OSHPD_ID,Facility Name,Licensed Bed Classification,License Bed Designation,Licensed Bed Day,Discharges,Census Day,Intra Hospital Transfer from Critical Care
2005.0,Butte,106040962.0,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,General Acute Care,Intensive Care,6570.0,163.0,4919.0,1215
2005.0,Calaveras,106050932.0,MARK TWAIN ST. JOSEPHS HOSPITAL,General Acute Care,Intensive Care,2920.0,165.0,921.0,0
2005.0,Colusa,106060870.0,COLUSA REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,2190.0,39.0,192.0,65
2005.0,Contra Costa,106070904.0,DOCTORS MEDICAL CENTER - SAN PABLO CAMPUS,General Acute Care,Intensive Care,13870.0,435.0,5006.0,552
2005.0,Contra Costa,106070924.0,CONTRA COSTA REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,2920.0,157.0,1634.0,258
2005.0,Contra Costa,106070934.0,SUTTER DELTA MEDICAL CENTER,General Acute Care,Intensive Care,4380.0,271.0,2562.0,535
2005.0,Contra Costa,106070988.0,JOHN MUIR MEDICAL CENTER,General Acute Care,Intensive Care,8760.0,314.0,8095.0,1439
2005.0,Contra Costa,106070990.0,KAISER FND HOSP - WALNUT CREEK,General Acute Care,Intensive Care,8760.0,1420.0,10430.0,1750
2005.0,Contra Costa,106071018.0,MT. DIABLO  MEDICAL CENTER,General Acute Care,Intensive Care,5475.0,208.0,4162.0,1393
2005.0,Contra Costa,106074017.0,SAN RAMON REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,2190.0,317.0,2407.0,531
2005.0,Contra Costa,106074093.0,KAISER FNDN HOSP - RICHMOND CAMPUS,General Acute Care,Intensive Care,1460.0,152.0,1057.0,347
2005.0,Del Norte,106084001.0,SUTTER COAST HOSPITAL,General Acute Care,Intensive Care,2190.0,540.0,2212.0,0
2005.0,El Dorado,106090793.0,BARTON MEMORIAL HOSPITAL,General Acute Care,Intensive Care,3285.0,194.0,1646.0,0
2005.0,El Dorado,106090933.0,MARSHALL  MEDICAL CENTER (1-RH),General Acute Care,Intensive Care,2920.0,248.0,2020.0,525
2005.0,Fresno,106100005.0,COMMUNITY MEDICAL CENTER - CLOVIS,General Acute Care,Intensive Care,2555.0,121.0,1604.0,0
2005.0,Fresno,106100717.0,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO,General Acute Care,Intensive Care,25900.0,449.0,4093.0,0
2005.0,Fresno,106100822.0,UNIVERSITY MEDICAL CENTER,General Acute Care,Intensive Care,9490.0,283.0,7937.0,0
2005.0,Fresno,106100899.0,ST. AGNES MEDICAL CENTER,General Acute Care,Intensive Care,11495.0,258.0,5849.0,893
2005.0,Fresno,106104062.0,KAISER FND HOSP - FRESNO,General Acute Care,Intensive Care,4380.0,206.0,2617.0,688
2005.0,Humboldt,106120981.0,"GENERAL HOSPITAL, THE",General Acute Care,Intensive Care,2920.0,0.0,0.0,0
2005.0,Humboldt,106121002.0,MAD RIVER COMMUNITY HOSPITAL,General Acute Care,Intensive Care,2190.0,170.0,1088.0,260
2005.0,Humboldt,106121051.0,REDWOOD MEMORIAL HOSPITAL,General Acute Care,Intensive Care,1460.0,156.0,658.0,188
2005.0,Humboldt,106121080.0,ST. JOSEPH HOSPITAL - EUREKA,General Acute Care,Intensive Care,1460.0,57.0,1021.0,286
2005.0,Imperial,106130699.0,EL CENTRO REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,7300.0,234.0,3342.0,799
2005.0,Imperial,106130760.0,PIONEERS MEMORIAL HOSPITAL,General Acute Care,Intensive Care,2920.0,155.0,1821.0,427
2005.0,Inyo,106141273.0,NORTHERN INYO HOSPITAL,General Acute Care,Intensive Care,2190.0,82.0,333.0,116
2005.0,Kern,106150706.0,DELANO REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,3650.0,114.0,1955.0,218
2005.0,Kern,106150722.0,BAKERSFIELD MEMORIAL HOSPITAL- 34TH STREET,General Acute Care,Intensive Care,2920.0,197.0,5404.0,1039
2005.0,Kern,106150736.0,KERN MEDICAL CENTER,General Acute Care,Intensive Care,4380.0,133.0,2680.0,489
2005.0,Kern,106150737.0,KERN VALLEY HEALTHCARE DISTRICT,General Acute Care,Intensive Care,1095.0,8.0,49.0,17
2005.0,Kern,106150761.0,MERCY HOSPITAL - BAKERSFIELD,General Acute Care,Intensive Care,4015.0,159.0,3743.0,585
2005.0,Kern,106150775.0,GOOD SAMARITAN HOSPITAL-BAKERSFIELD,General Acute Care,Intensive Care,1460.0,89.0,410.0,0
2005.0,Kern,106150782.0,RIDGECREST REGIONAL HOSPITAL,General Acute Care,Intensive Care,2920.0,51.0,1050.0,237
2005.0,Kern,106150788.0,SAN JOAQUIN COMMUNITY HOSPITAL,General Acute Care,Intensive Care,7665.0,194.0,5164.0,1332
2005.0,Kern,106154108.0,MERCY SOUTHWEST HOSPITAL,General Acute Care,Intensive Care,2784.0,138.0,1860.0,306
2005.0,Kings,106160725.0,HANFORD COMMUNITY MEDICAL CENTER,General Acute Care,Intensive Care,3650.0,232.0,2835.0,0
2005.0,Lake,106171049.0,REDBUD COMMUNITY HOSPITAL,General Acute Care,Intensive Care,1460.0,259.0,371.0,0
2005.0,Lake,106171395.0,SUTTER LAKESIDE HOSPITAL,General Acute Care,Intensive Care,2190.0,178.0,1065.0,0
2005.0,Los Angeles,106190017.0,ALHAMBRA HOSPITAL,General Acute Care,Intensive Care,2190.0,110.0,1502.0,415
2005.0,Los Angeles,106190034.0,ANTELOPE VALLEY HOSPITAL MEDICAL CENTER,General Acute Care,Intensive Care,7665.0,234.0,6646.0,1633
2005.0,Los Angeles,106190049.0,VISTA SPECIALTY HOSPITAL OF SAN GABRIEL VALLEY,General Acute Care,Intensive Care,2920.0,72.0,2339.0,0
2005.0,Los Angeles,106190053.0,ST. MARY MEDICAL CENTER,General Acute Care,Intensive Care,14235.0,598.0,6122.0,984
2005.0,Los Angeles,106190066.0,BELLFLOWER MEDICAL CENTER,General Acute Care,Intensive Care,1825.0,255.0,1688.0,0
2005.0,Los Angeles,106190081.0,BEVERLY HOSPITAL,General Acute Care,Intensive Care,4380.0,264.0,3448.0,0
2005.0,Los Angeles,106190125.0,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES,General Acute Care,Intensive Care,7300.0,503.0,5427.0,751
2005.0,Los Angeles,106190159.0,TRI-CITY REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,4745.0,127.0,1833.0,472
2005.0,Los Angeles,106190170.0,CHILDRENS HOSPITAL OF LOS ANGELES,General Acute Care,Intensive Care,16790.0,446.0,13862.0,1586
2005.0,Los Angeles,106190176.0,HELFORD CLINICAL RESEARCH HOSP AT CITY OF HOPE,General Acute Care,Intensive Care,5298.0,690.0,4007.0,0
2005.0,Los Angeles,106190198.0,LOS ANGELES COMMUNITY HOSPITAL,General Acute Care,Intensive Care,2190.0,106.0,1497.0,0
2005.0,Los Angeles,106190200.0,SAN GABRIEL VALLEY MEDICAL CENTER,General Acute Care,Intensive Care,6935.0,295.0,4569.0,1444
2005.0,Los Angeles,106190230.0,CENTINELA FREEMAN REG MED CTR-MEMORIAL CAMPUS,General Acute Care,Intensive Care,4745.0,217.0,3794.0,253
2005.0,Los Angeles,106190240.0,LAKEWOOD REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,2920.0,267.0,2542.0,1013
2005.0,Los Angeles,106190243.0,DOWNEY REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,2920.0,244.0,2429.0,580
2005.0,Los Angeles,106190256.0,EAST LOS ANGELES DOCTORS HOSPITAL,General Acute Care,Intensive Care,1460.0,86.0,1312.0,92
2005.0,Los Angeles,106190280.0,ENCINO-TARZANA REGIONAL MED CTR-ENCINO,General Acute Care,Intensive Care,1825.0,94.0,847.0,0
2005.0,Los Angeles,106190298.0,FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL,General Acute Care,Intensive Care,3285.0,488.0,2758.0,571
2005.0,Los Angeles,106190307.0,"PACIFIC ALLIANCE MEDICAL CENTER, INC.",General Acute Care,Intensive Care,3285.0,97.0,1988.0,165
2005.0,Los Angeles,106190315.0,GARFIELD MEDICAL CENTER,General Acute Care,Intensive Care,5110.0,209.0,3343.0,530
2005.0,Los Angeles,106190323.0,GLENDALE ADVENTIST MEDICAL CENTER - WILSON TERRACE,General Acute Care,Intensive Care,3650.0,121.0,3156.0,815
2005.0,Los Angeles,106190328.0,EAST VALLEY HOSPITAL MEDICAL CENTER,General Acute Care,Intensive Care,1825.0,297.0,1550.0,270
2005.0,Los Angeles,106190380.0,HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD,General Acute Care,Intensive Care,1825.0,108.0,1769.0,0
2005.0,Los Angeles,106190382.0,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,General Acute Care,Intensive Care,10220.0,358.0,5748.0,675
2005.0,Los Angeles,106190385.0,PROVIDENCE HOLY CROSS MEDICAL CENTER,General Acute Care,Intensive Care,4380.0,324.0,5394.0,0
2005.0,Los Angeles,106190392.0,GOOD SAMARITAN HOSPITAL-LOS ANGELES,General Acute Care,Intensive Care,21170.0,388.0,8931.0,2124
2005.0,Los Angeles,106190400.0,HUNTINGTON MEMORIAL HOSPITAL,General Acute Care,Intensive Care,14600.0,573.0,3334.0,1164
2005.0,Los Angeles,106190413.0,CITRUS VALLEY MEDICAL CENTER - IC CAMPUS,General Acute Care,Intensive Care,2920.0,155.0,2271.0,605
2005.0,Los Angeles,106190422.0,TORRANCE MEMORIAL MEDICAL CENTER,General Acute Care,Intensive Care,8760.0,479.0,7699.0,1439
2005.0,Los Angeles,106190429.0,KAISER FND HOSP - SUNSET,General Acute Care,Intensive Care,21900.0,1803.0,15618.0,2032
2005.0,Los Angeles,106190430.0,KAISER FND HOSP - BELLFLOWER,General Acute Care,Intensive Care,8760.0,275.0,3292.0,1016
2005.0,Los Angeles,106190431.0,KAISER FND HOSP - HARBOR CITY,General Acute Care,Intensive Care,3650.0,209.0,2600.0,948
2005.0,Los Angeles,106190432.0,KAISER FND HOSP - PANORAMA CITY,General Acute Care,Intensive Care,10950.0,319.0,2856.0,1141
2005.0,Los Angeles,106190434.0,KAISER FND HOSP - WEST LA,General Acute Care,Intensive Care,12410.0,744.0,6033.0,927
2005.0,Los Angeles,106190449.0,KINDRED HOSPITAL - LA MIRADA,General Acute Care,Intensive Care,2190.0,55.0,1809.0,93
2005.0,Los Angeles,106190458.0,KINDRED HOSPITAL - SAN GABRIEL VALLEY,General Acute Care,Intensive Care,2190.0,58.0,1120.0,137
2005.0,Los Angeles,106190468.0,PROMISE HOSPITAL OF EAST LOS ANGELES-EAST L.A. CAMPUS,General Acute Care,Intensive Care,730.0,21.0,395.0,0
2005.0,Los Angeles,106190470.0,LITTLE COMPANY OF MARY HOSPITAL,General Acute Care,Intensive Care,10220.0,587.0,7658.0,907
2005.0,Los Angeles,106190475.0,COMMUNITY HOSPITAL OF LONG BEACH,General Acute Care,Intensive Care,7665.0,344.0,2586.0,0
2005.0,Los Angeles,106190500.0,CENTINELA FREEMAN REG MED CTR-MARINA CAMPUS,General Acute Care,Intensive Care,4380.0,227.0,2728.0,244
2005.0,Los Angeles,106190517.0,ENCINO-TARZANA REGIONAL MED CTR-TARZANA,General Acute Care,Intensive Care,6205.0,262.0,4715.0,0
2005.0,Los Angeles,106190521.0,MEMORIAL HOSPITAL OF GARDENA,General Acute Care,Intensive Care,1825.0,253.0,3445.0,517
2005.0,Los Angeles,106190522.0,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,General Acute Care,Intensive Care,4380.0,375.0,3399.0,660
2005.0,Los Angeles,106190524.0,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS,General Acute Care,Intensive Care,1825.0,167.0,1809.0,407
2005.0,Los Angeles,106190525.0,LONG BEACH MEMORIAL MEDICAL CENTER,General Acute Care,Intensive Care,22265.0,2958.0,18918.0,3627
2005.0,Los Angeles,106190529.0,METHODIST HOSPITAL OF SOUTHERN CALIFORNIA,General Acute Care,Intensive Care,3285.0,231.0,3037.0,459
2005.0,Los Angeles,106190534.0,OLYMPIA MEDICAL CENTER,General Acute Care,Intensive Care,2190.0,0.0,0.0,0
2005.0,Los Angeles,106190547.0,MONTEREY PARK HOSPITAL,General Acute Care,Intensive Care,1460.0,101.0,1213.0,234
2005.0,Los Angeles,106190552.0,MOTION PICTURE AND TELEVISION HOSPITAL,General Acute Care,Intensive Care,1460.0,1010.0,4305.0,0
2005.0,Los Angeles,106190555.0,CEDARS SINAI MEDICAL CENTER,General Acute Care,Intensive Care,19710.0,1914.0,16910.0,5614
2005.0,Los Angeles,106190568.0,NORTHRIDGE HOSPITAL MEDICAL CENTER,General Acute Care,Intensive Care,8760.0,441.0,4790.0,669
2005.0,Los Angeles,106190570.0,NORWALK COMMUNITY HOSPITAL,General Acute Care,Intensive Care,2190.0,194.0,1836.0,0
2005.0,Los Angeles,106190581.0,ORTHOPAEDIC HOSPITAL,General Acute Care,Intensive Care,3096.0,8.0,311.0,164
2005.0,Los Angeles,106190587.0,PACIFIC HOSPITAL OF LONG BEACH,General Acute Care,Intensive Care,2920.0,100.0,1100.0,0
2005.0,Los Angeles,106190599.0,PROMISE HOSPITAL OF EAST LOSANGELES-SUBURBAN CAMPUS,General Acute Care,Intensive Care,2555.0,13.0,78.0,0
2005.0,Los Angeles,106190630.0,POMONA VALLEY HOSPITAL MEDICAL CENTER,General Acute Care,Intensive Care,13140.0,297.0,5361.0,969
2005.0,Los Angeles,106190631.0,PRESBYTERIAN INTERCOMMUNITY HOSPITAL,General Acute Care,Intensive Care,8760.0,1919.0,5191.0,0
2005.0,Los Angeles,106190636.0,CITRUS VALLEY MEDICAL CENTER - QV CAMPUS,General Acute Care,Intensive Care,7300.0,248.0,3993.0,760
2005.0,Los Angeles,106190673.0,SAN DIMAS COMMUNITY HOSPITAL,General Acute Care,Intensive Care,1460.0,187.0,1167.0,312
2005.0,Los Angeles,106190680.0,LITTLE COMPANY OF MARY - SAN PEDRO HOSPITAL,General Acute Care,Intensive Care,4380.0,222.0,2335.0,955
2005.0,Los Angeles,106190687.0,SANTA MONICA - UCLA MEDICAL CENTER,General Acute Care,Intensive Care,8030.0,326.0,4885.0,869
2005.0,Los Angeles,106190696.0,PACIFICA HOSPITAL OF THE VALLEY,General Acute Care,Intensive Care,2555.0,160.0,1928.0,0
2005.0,Los Angeles,106190708.0,SHERMAN OAKS HOSPITAL AND HEALTH CENTER,General Acute Care,Intensive Care,2920.0,442.0,4825.0,736
2005.0,Los Angeles,106190754.0,ST. FRANCIS MEDICAL CENTER,General Acute Care,Intensive Care,13140.0,2702.0,10597.0,0
2005.0,Los Angeles,106190756.0,ST. JOHNS HOSPITAL AND HEALTH CENTER,General Acute Care,Intensive Care,12775.0,786.0,6233.0,1218
2005.0,Los Angeles,106190758.0,PROVIDENCE SAINT JOSEPH MEDICAL CENTER,General Acute Care,Intensive Care,13340.0,492.0,8586.0,0
2005.0,Los Angeles,106190762.0,ST. VINCENT MEDICAL CENTER,General Acute Care,Intensive Care,24455.0,142.0,4812.0,2045
2005.0,Los Angeles,106190784.0,TEMPLE COMMUNITY HOSPITAL,General Acute Care,Intensive Care,2190.0,40.0,984.0,0
2005.0,Los Angeles,106190796.0,UCLA MEDICAL CENTER,General Acute Care,Intensive Care,25550.0,395.0,23628.0,3187
2005.0,Los Angeles,106190812.0,VALLEY PRESBYTERIAN HOSPITAL,General Acute Care,Intensive Care,10950.0,524.0,5729.0,773
2005.0,Los Angeles,106190818.0,VERDUGO HILLS HOSPITAL,General Acute Care,Intensive Care,2190.0,143.0,1562.0,330
2005.0,Los Angeles,106190854.0,LOS ANGELES METROPOLITAN MEDICAL CENTER,General Acute Care,Intensive Care,1460.0,47.0,683.0,79
2005.0,Los Angeles,106190857.0,"DOCTORS HOSPITAL OF WEST COVINA, INC",General Acute Care,Intensive Care,1095.0,0.0,0.0,0
2005.0,Los Angeles,106190859.0,WEST HILLS HOSPITAL AND MEDICAL CENTER,General Acute Care,Intensive Care,2920.0,149.0,2194.0,395
2005.0,Los Angeles,106190878.0,WHITE MEMORIAL MEDICAL CENTER,General Acute Care,Intensive Care,7300.0,233.0,4745.0,690
2005.0,Los Angeles,106190883.0,WHITTIER HOSPITAL MEDICAL CENTER,General Acute Care,Intensive Care,5840.0,538.0,3652.0,0
2005.0,Los Angeles,106190949.0,HENRY MAYO NEWHALL MEMORIAL HOSPITAL,General Acute Care,Intensive Care,2190.0,157.0,1986.0,581
2005.0,Los Angeles,106191216.0,"USC KENNETH NORRIS, JR. CANCER HOSPITAL",General Acute Care,Intensive Care,4745.0,111.0,3331.0,0
2005.0,Los Angeles,106191227.0,LOS ANGELES CO HARBOR-UCLA MEDICAL CENTER,General Acute Care,Intensive Care,16060.0,988.0,15366.0,2770
2005.0,Los Angeles,106191228.0,LOS ANGELES CO USC MEDICAL CENTER,General Acute Care,Intensive Care,29290.0,826.0,17895.0,2932
2005.0,Los Angeles,106191230.0,LOS ANGELES CO MARTIN LUTHER KING JR/DREW MED CTR,General Acute Care,Intensive Care,19345.0,275.0,7908.0,2222
2005.0,Los Angeles,106191231.0,LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER,General Acute Care,Intensive Care,15330.0,235.0,3249.0,1123
2005.0,Los Angeles,106191306.0,LAC/RANCHO LOS AMIGOS NATIONAL REHAB CENTER,General Acute Care,Intensive Care,8760.0,69.0,1218.0,83
2005.0,Los Angeles,106191450.0,KAISER FND HOSP - WOODLAND HILLS,General Acute Care,Intensive Care,4015.0,251.0,2806.0,704
2005.0,Los Angeles,106194219.0,USC UNIVERSITY HOSPITAL,General Acute Care,Intensive Care,16060.0,535.0,13428.0,4776
2005.0,Los Angeles,106196035.0,KAISER FND HOSP - BALDWIN PARK,General Acute Care,Intensive Care,4380.0,266.0,3069.0,712
2005.0,Los Angeles,106196168.0,EARL AND LORRAINE MILLER CHILDRENS HOSPITAL,General Acute Care,Intensive Care,7300.0,393.0,5200.0,1540
2005.0,Madera,106201281.0,MADERA COMMUNITY HOSPITAL,General Acute Care,Intensive Care,3650.0,468.0,4746.0,0
2005.0,Madera,106204019.0,CHILDRENS HOSPITAL CENTRAL CALIFORNIA,General Acute Care,Intensive Care,10220.0,324.0,7128.0,1646
2005.0,Marin,106210992.0,KAISER FND HOSP - SAN RAFAEL,General Acute Care,Intensive Care,4380.0,202.0,2695.0,674
2005.0,Marin,106211006.0,MARIN GENERAL HOSPITAL,General Acute Care,Intensive Care,3650.0,129.0,2620.0,774
2005.0,Marin,106214034.0,NOVATO COMMUNITY HOSPITAL,General Acute Care,Intensive Care,1460.0,174.0,1323.0,442
2005.0,Mendocino,106230949.0,FRANK R HOWARD MEMORIAL HOSPITAL,General Acute Care,Intensive Care,1460.0,54.0,219.0,50
2005.0,Mendocino,106231013.0,MENDOCINO COAST DISTRICT HOSPITAL,General Acute Care,Intensive Care,1460.0,217.0,939.0,123
2005.0,Mendocino,106231396.0,UKIAH VALLEY MEDICAL CENTER/HOSPITAL DRIVE,General Acute Care,Intensive Care,2190.0,225.0,1134.0,360
2005.0,Merced,106240924.0,MEMORIAL HOSPITAL LOS BANOS,General Acute Care,Intensive Care,1460.0,53.0,635.0,93
2005.0,Merced,106240942.0,MERCY MEDICAL CENTER MERCED-COMMUNITY CAMPUS,General Acute Care,Intensive Care,5840.0,856.0,4289.0,0
2005.0,Merced,106240948.0,MERCY MEDICAL CENTER MERCED-DOMINICAN CAMPUS,General Acute Care,Intensive Care,3650.0,0.0,0.0,0
2005.0,Mono,106260011.0,MAMMOTH HOSPITAL,General Acute Care,Intensive Care,730.0,12.0,19.0,0
2005.0,Monterey,106270744.0,COMMUNITY HOSPITAL MONTEREY PENINSULA,General Acute Care,Intensive Care,1825.0,85.0,962.0,0
2005.0,Monterey,106270777.0,GEORGE L MEE MEMORIAL HOSPITAL,General Acute Care,Intensive Care,1460.0,211.0,940.0,132
2005.0,Monterey,106270875.0,SALINAS VALLEY MEMORIAL HOSPITAL,General Acute Care,Intensive Care,2190.0,162.0,2742.0,839
2005.0,Monterey,106274043.0,NATIVIDAD MEDICAL CENTER,General Acute Care,Intensive Care,3650.0,225.0,1701.0,0
2005.0,Napa,106281047.0,QUEEN OF THE VALLEY HOSPITAL - NAPA,General Acute Care,Intensive Care,5840.0,271.0,4830.0,908
2005.0,Napa,106281078.0,ST. HELENA HOSPITAL,General Acute Care,Intensive Care,4380.0,100.0,2378.0,426
2005.0,Nevada,106291023.0,SIERRA NEVADA MEMORIAL HOSPITAL,General Acute Care,Intensive Care,730.0,127.0,765.0,279
2005.0,Nevada,106291053.0,TAHOE FOREST HOSPITAL,General Acute Care,Intensive Care,2190.0,288.0,1281.0,0
2005.0,Orange,106300032.0,CHILDRENS HOSPITAL OF ORANGE COUNTY,General Acute Care,Intensive Care,13140.0,567.0,10260.0,1460
2005.0,Orange,106300225.0,ORANGE COAST MEMORIAL MEDICAL CENTER,General Acute Care,Intensive Care,7665.0,310.0,4411.0,1309
2005.0,Orange,106301097.0,ANAHEIM GENERAL HOSPITAL,General Acute Care,Intensive Care,4380.0,203.0,839.0,268
2005.0,Orange,106301098.0,ANAHEIM MEMORIAL MEDICAL CENTER,General Acute Care,Intensive Care,8030.0,468.0,5982.0,1543
2005.0,Orange,106301127.0,KINDRED HOSPITAL BREA,General Acute Care,Intensive Care,1460.0,50.0,1283.0,85
2005.0,Orange,106301132.0,KAISER FND HOSP - ANAHEIM,General Acute Care,Intensive Care,4380.0,525.0,3998.0,1040
2005.0,Orange,106301140.0,CHAPMAN MEDICAL CENTER,General Acute Care,Intensive Care,4380.0,153.0,1088.0,327
2005.0,Orange,106301155.0,COLLEGE HOSPITAL COSTA MESA,General Acute Care,Intensive Care,1460.0,0.0,0.0,0
2005.0,Orange,106301167.0,KINDRED HOSPITAL - SANTA ANA,General Acute Care,Intensive Care,2555.0,56.0,1362.0,126
2005.0,Orange,106301175.0,FOUNTAIN VALLEY RGNL HOSP AND MED CTR - EUCLID,General Acute Care,Intensive Care,13140.0,599.0,10198.0,1499
2005.0,Orange,106301205.0,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,General Acute Care,Intensive Care,9125.0,203.0,4748.0,2506
2005.0,Orange,106301209.0,HUNTINGTON BEACH HOSPITAL,General Acute Care,Intensive Care,2190.0,84.0,1320.0,187
2005.0,Orange,106301234.0,LA PALMA INTERCOMMUNITY HOSPITAL,General Acute Care,Intensive Care,1460.0,94.0,826.0,215
2005.0,Orange,106301248.0,LOS ALAMITOS MEDICAL CENTER,General Acute Care,Intensive Care,3285.0,254.0,2561.0,602
2005.0,Orange,106301258.0,COASTAL COMMUNITIES HOSPITAL,General Acute Care,Intensive Care,3285.0,120.0,1256.0,0
2005.0,Orange,106301262.0,MISSION HOSPITAL REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,4380.0,152.0,3411.0,834
2005.0,Orange,106301279.0,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER,General Acute Care,Intensive Care,17520.0,1061.0,15485.0,2682
2005.0,Orange,106301283.0,GARDEN GROVE HOSPITAL AND MEDICAL CENTER,General Acute Care,Intensive Care,4380.0,358.0,3320.0,0
2005.0,Orange,106301297.0,PLACENTIA LINDA HOSPITAL,General Acute Care,Intensive Care,1460.0,103.0,755.0,224
2005.0,Orange,106301317.0,SADDLEBACK MEMORIAL MEDICAL CENTER,General Acute Care,Intensive Care,11315.0,379.0,6117.0,1793
2005.0,Orange,106301325.0,SADDLEBACK MEMORIAL MEDICAL CENTER - SAN CLEMENTE,General Acute Care,Intensive Care,2555.0,161.0,1244.0,410
2005.0,Orange,106301337.0,SOUTH COAST MEDICAL CENTER,General Acute Care,Intensive Care,3650.0,258.0,1463.0,0
2005.0,Orange,106301340.0,ST. JOSEPH HOSPITAL - ORANGE,General Acute Care,Intensive Care,11315.0,563.0,5963.0,1566
2005.0,Orange,106301342.0,ST. JUDE MEDICAL CENTER,General Acute Care,Intensive Care,11680.0,828.0,7896.0,2064
2005.0,Orange,106301357.0,TUSTIN HOSPITAL MEDICAL CENTER,General Acute Care,Intensive Care,5475.0,189.0,721.0,243
2005.0,Orange,106301379.0,WEST ANAHEIM MEDICAL CENTER,General Acute Care,Intensive Care,3650.0,260.0,2290.0,429
2005.0,Orange,106301380.0,KINDRED HOSPITAL WESTMINSTER,General Acute Care,Intensive Care,5840.0,120.0,4786.0,368
2005.0,Orange,106301566.0,WESTERN MEDICAL CENTER - SANTA ANA,General Acute Care,Intensive Care,15330.0,1723.0,7451.0,2316
